"","Well","Sample","Species","Task","Reporter","Quencher","Ct","Cт.Mean","Cт.SD","Quantity","Quantity.Mean","Quantity.SD","Automatic.Ct.Threshold","Ct.Threshold","Automatic.Baseline","Baseline.Start","Baseline.End","Comments","HIGHSD","EXPFAIL","SuperMix"
"40","A8","ST1","Herring","UNKNOWN","CY3","NFQ-MGB",20.63995934,27.32662201,5.696009636,NA,NA,NA,TRUE,0.01091607,TRUE,3,19,NA,"Y","N","SM3"
"41","A9","ST1","Cod","UNKNOWN","FAM","NFQ-MGB",NA,25.23806,6.060730457,NA,NA,NA,TRUE,0.100954591,TRUE,3,41,NA,"N","Y","SM3"
"42","A9","ST1","Herring","UNKNOWN","CY3","NFQ-MGB",NA,27.32662201,5.696009636,NA,NA,NA,TRUE,0.01091607,TRUE,3,41,NA,"N","Y","SM3"
"43","B7","ST3","Cod","UNKNOWN","FAM","NFQ-MGB",24.95495987,25.23806,6.060730457,NA,NA,NA,TRUE,0.100954591,TRUE,3,21,NA,"Y","N","SM3"
"44","B7","ST3","Herring","UNKNOWN","CY3","NFQ-MGB",27.06011009,27.32662201,5.696009636,NA,NA,NA,TRUE,0.01091607,TRUE,3,26,NA,"Y","N","SM3"
"45","B8","ST3","Cod","UNKNOWN","FAM","NFQ-MGB",24.95380402,25.23806,6.060730457,NA,NA,NA,TRUE,0.100954591,TRUE,3,20,NA,"Y","N","SM3"
"46","B8","ST3","Herring","UNKNOWN","CY3","NFQ-MGB",27.09516335,27.32662201,5.696009636,NA,NA,NA,TRUE,0.01091607,TRUE,3,26,NA,"Y","N","SM3"
"47","B9","ST3","Cod","UNKNOWN","FAM","NFQ-MGB",NA,25.23806,6.060730457,NA,NA,NA,TRUE,0.100954591,TRUE,3,41,NA,"N","Y","SM3"
"48","B9","ST3","Herring","UNKNOWN","CY3","NFQ-MGB",NA,27.32662201,5.696009636,NA,NA,NA,TRUE,0.01091607,TRUE,3,41,NA,"N","Y","SM3"
"49","C7","ST5","Cod","UNKNOWN","FAM","NFQ-MGB",31.55440712,25.23806,6.060730457,NA,NA,NA,TRUE,0.100954591,TRUE,3,28,NA,"Y","N","SM3"
"50","C7","ST5","Herring","UNKNOWN","CY3","NFQ-MGB",33.60562897,27.32662201,5.696009636,NA,NA,NA,TRUE,0.01091607,TRUE,3,33,NA,"Y","N","SM3"
"51","C8","ST5","Cod","UNKNOWN","FAM","NFQ-MGB",31.69662857,25.23806,6.060730457,NA,NA,NA,TRUE,0.100954591,TRUE,3,27,NA,"Y","N","SM3"
"52","C8","ST5","Herring","UNKNOWN","CY3","NFQ-MGB",33.96201706,27.32662201,5.696009636,NA,NA,NA,TRUE,0.01091607,TRUE,3,33,NA,"Y","N","SM3"
