"","Well","Sample","Species","Task","Reporter","Quencher","Ct","Cт.Mean","Cт.SD","Quantity","Quantity.Mean","Quantity.SD","Automatic.Ct.Threshold","Ct.Threshold","Automatic.Baseline","Baseline.Start","Baseline.End","Comments","HIGHSD","EXPFAIL","SuperMix"
"48","B9","ST3","Saithe","UNKNOWN","JOE","NFQ-MGB",25.33341026,24.80993271,6.014926434,NA,NA,NA,FALSE,0.011,TRUE,3,24,NA,"Y","N","SM3"
"49","C7","ST5","Cod","UNKNOWN","FAM","NFQ-MGB",31.93152809,25.45713615,5.814662457,NA,NA,NA,TRUE,0.113817748,TRUE,3,27,NA,"Y","N","SM3"
"50","C7","ST5","Saithe","UNKNOWN","JOE","NFQ-MGB",32.79798889,24.80993271,6.014926434,NA,NA,NA,FALSE,0.011,TRUE,3,30,NA,"Y","N","SM3"
"51","C8","ST5","Cod","UNKNOWN","FAM","NFQ-MGB",31.74140167,25.45713615,5.814662457,NA,NA,NA,TRUE,0.113817748,TRUE,3,27,NA,"Y","N","SM3"
"52","C8","ST5","Saithe","UNKNOWN","JOE","NFQ-MGB",32.19630051,24.80993271,6.014926434,NA,NA,NA,FALSE,0.011,TRUE,3,30,NA,"Y","N","SM3"
"53","C9","ST5","Cod","UNKNOWN","FAM","NFQ-MGB",31.58907318,25.45713615,5.814662457,NA,NA,NA,TRUE,0.113817748,TRUE,3,27,NA,"Y","N","SM3"
"54","C9","ST5","Saithe","UNKNOWN","JOE","NFQ-MGB",31.9405098,24.80993271,6.014926434,NA,NA,NA,FALSE,0.011,TRUE,3,30,NA,"Y","N","SM3"
"55","A10","ST1","Cod","UNKNOWN","FAM","NFQ-MGB",18.30839729,25.45713615,5.814662457,NA,NA,NA,TRUE,0.113817748,TRUE,3,15,NA,"Y","N","SM4"
"56","A10","ST1","Saithe","UNKNOWN","JOE","NFQ-MGB",18.65036201,24.80993271,6.014926434,NA,NA,NA,FALSE,0.011,TRUE,3,16,NA,"Y","N","SM4"
"57","A11","ST1","Cod","UNKNOWN","FAM","NFQ-MGB",18.25551224,25.45713615,5.814662457,NA,NA,NA,TRUE,0.113817748,TRUE,3,14,NA,"Y","N","SM4"
"58","A11","ST1","Saithe","UNKNOWN","JOE","NFQ-MGB",18.37103844,24.80993271,6.014926434,NA,NA,NA,FALSE,0.011,TRUE,3,16,NA,"Y","N","SM4"
"59","A12","ST1","Cod","UNKNOWN","FAM","NFQ-MGB",19.09789467,25.45713615,5.814662457,NA,NA,NA,TRUE,0.113817748,TRUE,3,16,NA,"Y","N","OUT"
"60","A12","ST1","Saithe","UNKNOWN","JOE","NFQ-MGB",19.26954269,24.80993271,6.014926434,NA,NA,NA,FALSE,0.011,TRUE,3,18,NA,"Y","N","OUT"
