"","Well","Sample_name","Species","Conc","Tot_drop","Positives","Negatives","plate","pres","int_concentation","species_idx","st_idx","sp_st_idx"
"60","E02","Std-CH6","Cod",10.11985779,19965,171,19794,"Std_CH",1,10,1,5,5
"61","E03","Std-CH6","Herring",6.539664745,19483,108,19375,"Std_CH",1,10,2,5,12
"62","E03","Std-CH6","Cod",12.07829857,19483,199,19284,"Std_CH",1,10,1,5,5
"63","E04","Std-CH6","Herring",5.256643295,19739,88,19651,"Std_CH",1,10,2,5,12
"64","E04","Std-CH6","Cod",11.86064911,19739,198,19541,"Std_CH",1,10,1,5,5
"65","E05","Std-CH6","Herring",5.696923733,20287,98,20189,"Std_CH",1,10,2,5,12
"66","E05","Std-CH6","Cod",8.205328941,20287,141,20146,"Std_CH",1,10,1,5,5
"67","E06","Std-CH6","Herring",4.996612072,20528,87,20441,"Std_CH",1,10,2,5,12
"68","E06","Std-CH6","Cod",9.725567818,20528,169,20359,"Std_CH",1,10,1,5,5
"69","E07","Std-CH6","Herring",5.552971363,21024,99,20925,"Std_CH",1,10,2,5,12
"70","E07","Std-CH6","Cod",9.664442062,21024,172,20852,"Std_CH",1,10,1,5,5
"71","E08","Std-CH6","Herring",5.981298447,19522,99,19423,"Std_CH",1,10,2,5,12
"72","E08","Std-CH6","Cod",9.803473473,19522,162,19360,"Std_CH",1,10,1,5,5
"73","E09","Std-CH10","Herring",0,21131,0,21131,"Std_CH",0,0.001,2,1,9
"74","E09","Std-CH10","Cod",0,21131,0,21131,"Std_CH",0,0.001,1,1,1
"75","F01","Std-CH7","Herring",0.525444686,17916,8,17908,"Std_CH",1,1,2,4,11
"76","F01","Std-CH7","Cod",0.788255036,17916,12,17904,"Std_CH",1,1,1,4,4
"77","F02","Std-CH7","Herring",0.427663088,19260,7,19253,"Std_CH",1,1,2,4,11
"78","F02","Std-CH7","Cod",1.466921091,19260,24,19236,"Std_CH",1,1,1,4,4
"79","F03","Std-CH7","Herring",0.605086982,19448,10,19438,"Std_CH",1,1,2,4,11
"80","F03","Std-CH7","Cod",1.089380741,19448,18,19430,"Std_CH",1,1,1,4,4
"81","F04","Std-CH7","Herring",0.312334567,18836,5,18831,"Std_CH",1,1,2,4,11
"82","F04","Std-CH7","Cod",1.437425971,18836,23,18813,"Std_CH",1,1,1,4,4
"83","F05","Std-CH7","Herring",0.768297732,19913,13,19900,"Std_CH",1,1,2,4,11
"84","F05","Std-CH7","Cod",1.30049026,19913,22,19891,"Std_CH",1,1,1,4,4
"85","F06","Std-CH7","Herring",0.645751178,20046,11,20035,"Std_CH",1,1,2,4,11
"86","F06","Std-CH7","Cod",0.998128593,20046,17,20029,"Std_CH",1,1,1,4,4
"87","F07","Std-CH7","Herring",0.420522064,19587,7,19580,"Std_CH",1,1,2,4,11
"88","F07","Std-CH7","Cod",1.382280231,19587,23,19564,"Std_CH",1,1,1,4,4
"89","F08","Std-CH7","Herring",0.622602999,18901,10,18891,"Std_CH",1,1,2,4,11
"90","F08","Std-CH7","Cod",1.120922685,18901,18,18883,"Std_CH",1,1,1,4,4
"91","F09","Std-CH10","Herring",0,21123,0,21123,"Std_CH",0,0.001,2,1,9
"92","F09","Std-CH10","Cod",0,21123,0,21123,"Std_CH",0,0.001,1,1,1
"93","G01","Std-CH8","Herring",0.201571241,17511,3,17508,"Std_CH",1,0.1,2,3,10
"94","G01","Std-CH8","Cod",0,17511,0,17511,"Std_CH",0,0.1,1,3,3
"95","G02","Std-CH8","Herring",0.06910862,17024,1,17023,"Std_CH",1,0.1,2,3,10
"96","G02","Std-CH8","Cod",0,17024,0,17024,"Std_CH",0,0.1,1,3,3
"97","G03","Std-CH8","Herring",0.065844163,17868,1,17867,"Std_CH",1,0.1,2,3,10
"98","G03","Std-CH8","Cod",0.263398767,17868,4,17864,"Std_CH",1,0.1,1,3,3
"99","G04","Std-CH8","Herring",0.306300759,19207,5,19202,"Std_CH",1,0.1,2,3,10
"100","G04","Std-CH8","Cod",0.245034218,19207,4,19203,"Std_CH",1,0.1,1,3,3
"101","G05","Std-CH8","Herring",0.120706983,19494,2,19492,"Std_CH",1,0.1,2,3,10
"102","G05","Std-CH8","Cod",0.181065112,19494,3,19491,"Std_CH",1,0.1,1,3,3
"103","G06","Std-CH8","Herring",0.398510903,17716,6,17710,"Std_CH",1,0.1,2,3,10
"104","G06","Std-CH8","Cod",0.132821977,17716,2,17714,"Std_CH",1,0.1,1,3,3
"105","G07","Std-CH8","Herring",0.382364094,18464,6,18458,"Std_CH",1,0.1,2,3,10
"106","G07","Std-CH8","Cod",0.127440885,18464,2,18462,"Std_CH",1,0.1,1,3,3
"107","G08","Std-CH8","Herring",0.124388941,18917,2,18915,"Std_CH",1,0.1,2,3,10
"108","G08","Std-CH8","Cod",0.062192827,18917,1,18916,"Std_CH",1,0.1,1,3,3
"109","G09","Std-CH10","Herring",0,19078,0,19078,"Std_CH",0,0.001,2,1,9
"110","G09","Std-CH10","Cod",0,19078,0,19078,"Std_CH",0,0.001,1,1,1
"111","H01","Std-CH9","Cod",0,19291,0,19291,"Std_CH",0,0.01,1,2,2
"112","H02","Std-CH9","Cod",0,19700,0,19700,"Std_CH",0,0.01,1,2,2
"113","H03","Std-CH9","Cod",0.058465425,20123,1,20122,"Std_CH",1,0.01,1,2,2
"114","H04","Std-CH9","Cod",0,20635,0,20635,"Std_CH",0,0.01,1,2,2
"115","H05","Std-CH9","Cod",0.057626341,20416,1,20415,"Std_CH",1,0.01,1,2,2
"116","H06","Std-CH9","Cod",0.057978492,20292,1,20291,"Std_CH",1,0.01,1,2,2
"117","H07","Std-CH9","Cod",0.059389211,19810,1,19809,"Std_CH",1,0.01,1,2,2
"118","H08","Std-CH9","Cod",0,19829,0,19829,"Std_CH",0,0.01,1,2,2
"119","H09","Std-CH10","Herring",0.056334931,20884,1,20883,"Std_CH",1,0.001,2,1,9
"120","H09","Std-CH10","Cod",0.056334931,20884,1,20883,"Std_CH",1,0.001,1,1,1
"121","A01","Std-CS9","Saithe",0,21866,0,21866,"Std_CS",0,0.01,3,2,17
"122","A01","Std-CS9","Cod",0,21866,0,21866,"Std_CS",0,0.01,1,2,2
"123","A02","Std-CS9","Saithe",0.065980799,17831,1,17830,"Std_CS",1,0.01,3,2,17
"124","A02","Std-CS9","Cod",0,17831,0,17831,"Std_CS",0,0.01,1,2,2
"125","A03","Std-CS9","Saithe",0.062002718,18975,1,18974,"Std_CS",1,0.01,3,2,17
"126","A03","Std-CS9","Cod",0,18975,0,18975,"Std_CS",0,0.01,1,2,2
"127","A04","Std-CS9","Saithe",0,18991,0,18991,"Std_CS",0,0.01,3,2,17
"128","A04","Std-CS9","Cod",0.061950482,18991,1,18990,"Std_CS",1,0.01,1,2,2
"129","A05","Std-CS9","Saithe",0.061298452,19193,1,19192,"Std_CS",1,0.01,3,2,17
"130","A05","Std-CS9","Cod",0.061298452,19193,1,19192,"Std_CS",1,0.01,1,2,2
"131","A06","Std-CS9","Saithe",0,19665,0,19665,"Std_CS",0,0.01,3,2,17
"132","A06","Std-CS9","Cod",0.05982713,19665,1,19664,"Std_CS",1,0.01,1,2,2
"133","A07","Std-CS9","Saithe",0,18997,0,18997,"Std_CS",0,0.01,3,2,17
"134","A07","Std-CS9","Cod",0,18997,0,18997,"Std_CS",0,0.01,1,2,2
"135","A08","Std-CS9","Saithe",0,18088,0,18088,"Std_CS",0,0.01,3,2,17
"136","A08","Std-CS9","Cod",0.065043293,18088,1,18087,"Std_CS",1,0.01,1,2,2
"137","A09","Std-CS10","Saithe",0.084995888,13842,1,13841,"Std_CS",1,0.001,3,1,16
"138","A09","Std-CS10","Cod",0,13842,0,13842,"Std_CS",0,0.001,1,1,1
"139","B01","Std-CS8","Saithe",0.221265852,21270,4,21266,"Std_CS",1,0.1,3,3,18
"140","B01","Std-CS8","Cod",0.165945485,21270,3,21267,"Std_CS",1,0.1,1,3,3
"141","B02","Std-CS8","Saithe",0.115238577,20419,2,20417,"Std_CS",1,0.1,3,3,18
"142","B02","Std-CS8","Cod",0.057617877,20419,1,20418,"Std_CS",1,0.1,1,3,3
"143","B03","Std-CS8","Saithe",0.387549341,18217,6,18211,"Std_CS",1,0.1,3,3,18
"144","B03","Std-CS8","Cod",0,18217,0,18217,"Std_CS",0,0.1,1,3,3
"145","B04","Std-CS8","Saithe",0.119968444,19614,2,19612,"Std_CS",1,0.1,3,3,18
"146","B04","Std-CS8","Cod",0,19614,0,19614,"Std_CS",0,0.1,1,3,3
"147","B05","Std-CS8","Saithe",0.177611738,19873,3,19870,"Std_CS",1,0.1,3,3,18
"148","B05","Std-CS8","Cod",0,19873,0,19873,"Std_CS",0,0.1,1,3,3
"149","B06","Std-CS8","Saithe",0.059599817,19740,1,19739,"Std_CS",1,0.1,3,3,18
"150","B06","Std-CS8","Cod",0.059599817,19740,1,19739,"Std_CS",1,0.1,1,3,3
"151","B07","Std-CS8","Saithe",0.190352008,18543,3,18540,"Std_CS",1,0.1,3,3,18
"152","B07","Std-CS8","Cod",0.126897916,18543,2,18541,"Std_CS",1,0.1,1,3,3
